taxon,Minimum elevation,Maximum elevation,Source and Notes
Thamnophilus amazonicus,0,700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thamnophilus aroyae,800,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thamnophilus caerulescens,1000,2400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thamnophilus cryptoleucus,0,400,Expertly assessed elevational range based on distribution and locality data using the species refinement tool in Map of Life (mol.org)
Thamnophilus doliatus,0,2000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thamnophilus murinus,0,1200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thamnophilus palliatus,400,1700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thamnophilus punctatus,0,1200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thamnophilus ruficapillus,1750,3050,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thamnophilus schistaceus,0,1300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thamnophilus tenuepunctatus,200,1700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thamnophilus unicolor,1250,2300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thamnophilus zarumae,800,2650,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thaumastura cora,0,2800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Theristicus melanopis,3000,4600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thinocorus orbignyianus,3400,5000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thinocorus rumicivorus,0,400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thlypopsis inornata,450,2200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thlypopsis ornata,1600,3300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thlypopsis pectoralis,2500,3200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thlypopsis ruficeps,1500,3700,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thlypopsis sordida,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thraupis bonariensis,800,4200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thraupis cyanocephala,1500,3100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thraupis episcopus,0,2000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thraupis palmarum,0,1600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thripadectes flammulatus,2100,2950,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thripadectes holostictus,1500,2400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thripadectes melanorhynchus,850,1750,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thripadectes scrutator,2100,3500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thripophaga berlepschi,2550,3350,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Thripophaga fusciceps,50,650,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thryothorus coraya,0,2000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thryothorus eisenmanni,1700,3350,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thryothorus euophrys,2200,3200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thryothorus genibarbis,0,1500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thryothorus leucotis,0,500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thryothorus sclateri,400,2000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Thryothorus superciliaris,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tiaris obscurus,350,2100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tigrisoma fasciatum,300,2150,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Tigrisoma lineatum,0,900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Tinamotis pentlandii,3900,5300,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Tinamus guttatus,0,1100,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tinamus major,0,800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tinamus osgoodi,600,1400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Tinamus tao,0,1400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tityra cayana,0,700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tityra inquisitor,0,600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tityra semifasciata,0,1600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Todirostrum chrysocrotaphum,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Todirostrum cinereum,0,2000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Todirostrum maculatum,0,500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Tolmomyias assimilis,0,1300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tolmomyias poliocephalus,0,1400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tolmomyias sulphurescens,400,2400,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tolmomyias traylori,0,400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Tolmomyias viridiceps,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Topaza pyra,0,450,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Touit huetii,0,1300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Touit purpuratus,0,1400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Touit stictopterus,1100,2200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Trichothraupis melanops,900,1800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Troglodytes aedon,0,4600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Troglodytes solstitialis,2000,3600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Trogon collaris,0,1700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Trogon curucui,0,1500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Trogon melanurus,0,1000,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Trogon mesurus,400,1250,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Trogon personatus,1100,3300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Trogon rufus,0,650,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Trogon violaceus,400,800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Trogon viridis,0,1350,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tryngites subruficollis,0,1000,BirdLife International (2015) IUCN Red List for birds. Downloaded from http://www.birdlife.org on 20/02/2015.
Tumbezia salvini,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Turdus albicollis,0,1300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Turdus chiguanco,1300,4300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Turdus fulviventris,1800,2350,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Turdus fuscater,1600,4200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Turdus hauxwelli,0,1200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Turdus ignobilis,0,1200,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Turdus lawrencii,0,700,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Turdus leucops,850,2600,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Turdus maculirostris,0,1900,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Turdus maranonicus,200,2000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Turdus nigriceps,700,1850,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Turdus reevei,600,1500,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Turdus serranus,1400,3450,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tyranneutes stolzmanni,0,800,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tyrannopsis sulphurea,0,400,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Tyrannulus elatus,0,1050,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
Tyrannus albogularis,0,1000,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Tyrannus melancholicus,0,2500,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Tyrannus niveigularis,0,1200,"del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.) (2014). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/ on 30 October 2014)."
Tyto alba,0,4300,"Schulenberg, Thomas S., et al. Birds of Peru: revised and updated edition. Princeton University Press, 2010."
